season,episode_number,title,airdate,rating,total_votes,desc,cast
3,1,Founder Friendly,24 Apr. 2016,8.1,1692,"After being unceremoniously fired, an angry Richard faces a tough decision: accept the diminished role of CTO, or leave Pied Piper for good. Erlich takes a shine to Jack Barker, Laurie's new choice of CEO, while Dinesh and Gilfoyle weigh their options in Richard's absence. At Hooli, Gavin tries to improve his image by admitting failure, and Big Head gets wind of major changes.",[None]
3,2,Two in the Box,1 May 2016,8.0,1512,"The new and improved Pied Piper impresses Dinesh and Gilfoyle, but worries Richard; Jared and Erlich face housing issues; Gavin suggests a controversial move.",[None]
3,3,Meinertzhagen's Haversack,8 May 2016,8.5,1677,Richard searches for a way around Jack; Gilfoyle opens himself up to recruiters; Dinesh draws unwanted attention from a recent purchase.,[None]
3,4,Maleant Data Systems Solutions,15 May 2016,8.5,1552,The Pied Piper guys struggle to phone it in; Erlich faces competition; Monica takes a stand; Gavin makes a decision about Nucleus.,[None]
3,5,The Empty Chair,22 May 2016,7.9,1437,"Richard lets his ego get in the way at an interview; Dinesh, Gilfoyle and Jared misplace hardware; Erlich pitches his plans to Big Head.",[None]
3,6,Bachmanity Insanity,29 May 2016,8.0,1466,Richard's new relationship is threatened by neuroses; Big Head and Erlich's launch party has snags; Dinesh falls for a foreign coworker.,[None]
3,7,To Build a Better Beta,5 Jun. 2016,8.2,1413,Richard decides to test the Pied Piper beta. Erlich finds himself in financial trouble.,[None]
3,8,Bachman's Earnings Over-Ride,12 Jun. 2016,8.4,1396,"Erlich tries to be honest with Richard, who has mixed emotions about their friendship and the future of Pied Piper. Meanwhile, Jared's new company apparel turns heads but fuels yet another clash between Dinesh and Gilfoyle.",[None]
3,9,Daily Active Users,19 Jun. 2016,8.2,1430,"Shocking stats are revealed and prompt Richard to bridge the gap between Pied Piper and its users, but Jared must go to extremes to keep everything intact. Meanwhile, Gavin tries to recapture his former glory by bringing in new talent after discovering secrets about the competition.",[None]
3,10,The Uptick,26 Jun. 2016,8.6,1562,"Pied Piper's future is hazy, but Erlich's industry profile begins to rise, creating a moral dilemma for Richard as Dinesh's new app starts to catch on. Meanwhile, Laurie makes plans for her exit; and Gavin's pompous personality haunts his comeback at Hooli.",[None]
4,1,Success Failure,23 Apr. 2017,8.1,1601,The guys struggle to find funding for Pied Piper's video chat app to keep up with their rapidly growing user base. Erlich faces resistance from Big Head's father. Jack steps on Gavin's toes at Hooli. Richard gets sage advice.,[None]
4,2,Terms of Service,30 Apr. 2017,8.5,1551,Richard butts heads with Dinesh; Erlich makes a play to be involved in Jian-Yang's new app; Jared sets ground rules in his friendship with Richard; Gavin's paranoia over Jack's enthusiasm causes him to make a rash decision.,[None]
4,3,Intellectual Property,7 May 2017,8.5,1462,Dinesh gets back to the ground while Richard continues to explore his new project. Gavin tries to come out of the new problem he has gotten himself into.,[None]
4,4,Teambuilding Exercise,14 May 2017,8.0,1348,"The SeeFood demo is being prepared, and Big Head's professorship is proving beneficial to his students.",[None]
4,5,The Blood Boy,21 May 2017,8.0,1340,Cracks in Richard's latest partnership become more apparent when he has to deal with an unexpected interloper; Dinesh scrambles to find a way out of his new relationship; Monica learns of surprising developments at Raviga.,[None]
4,6,Customer Service,28 May 2017,7.9,1313,The guys struggle for funding to launch the latest iteration of Pied Piper. Erlich seeks to join the new VC firm formed by Laurie and Monica. Dinesh and Gilfoyle clash over the alpha build.,[None]
4,7,The Patent Troll,4 Jun. 2017,7.9,1284,Richard takes on a patent troll; Gilfoyle battles a smart fridge; Jared embraces multiple identities; Erlich tries to spend time with a new crowd.,[None]
4,8,The Keenan Vortex,11 Jun. 2017,8.0,1275,"Richard ponders a deal with the tech world's latest ""it"" boy; Jack faces setbacks.",[None]
4,9,Hooli-Con,18 Jun. 2017,8.4,1335,The Pied Piper guys try to pull off a stealth plan at Hooli-Con.,[None]
4,10,Server Error,25 Jun. 2017,8.4,1466,Richard finds himself in a web of lies; Jared plans his exit; Jack bets big; Gavin plots a comeback.,[None]
5,1,Grow Fast or Die Slow,25 Mar. 2018,7.9,1518,The pressure to get things right stymies Richard and forces him to grow the company in a way he hadn't planned; Dinesh and Gilfoyle question their ability to make good choices; Gavin returns to Hooli and worries about becoming antiquated.,[None]
5,2,Reorientation,1 Apr. 2018,7.7,1413,Richard manages a number of conflicts in his efforts to unite his new employees; Dinesh celebrates a new purchase that Gilfoyle looks to spoil; Jian-Yang goes to court; Gavin meets pushback over his signature and what it says about him.,[None]
5,3,Chief Operating Officer,8 Apr. 2018,8.2,1396,"The COO of a world class company asks to move to Pied Piper. At the same time, Richard deals with a lawsuit from the smart fridge company that Gilfoyle hacked.",[None]
5,4,Tech Evangelist,15 Apr. 2018,7.6,1328,"Attempting to woo a gaming company to PiperNet, Richard inadvertently angers a prized ally; Dinesh deals with a betrayal; Gavin leaves his underlings with a cryptic message; Jared gets inside information from Big Head.",[None]
5,5,Facial Recognition,22 Apr. 2018,8.0,1345,"Overshadowed by Jared in an on-camera interview, Richard's confidence wavers further when Laurie and Monica force him to work with Eklow, a new artificial-intelligence company; Gavin questions his future beyond Hooli.",[None]
5,6,Artificial Emotional Intelligence,29 Apr. 2018,7.7,1253,"Richard decides to help when Laurie gets in a jam, but his lack of emotional discipline threatens to backfire on Pied Piper; Gavin tries to make a deal with a stubborn partner; Dinesh relishes a win; Jared bonds with a surprising figure.",[None]
5,7,Initial Coin Offering,6 May 2018,7.9,1238,"As Pied Piper prepares to close on their Series B funding, Richard receives some unsettling news; Gilfoyle suggests a proposition; Monica is blunt with Richard; Dinesh competes with a co-worker; Gavin tries to charm small-town America.",[None]
5,8,Fifty-One Percent,13 May 2018,9.0,2192,"PiperNet launches, but an early success makes Monica suspicious; Richard makes a surprising move; the team races against the clock as its future is threatened.",[None]
6,1,Artificial Lack of Intelligence,27 Oct. 2019,8.1,1472,Richard discovers his promise that Pied Piper won't collect user data is under threat; Jared longs for the past; Gilfoyle gets creative in dealing with Dinesh.,[None]
6,2,Blood Money,3 Nov. 2019,8.0,1304,Richard meets a potential investor; Gilfoyle butts heads with HR; Gavin explores a leaner Hooli's future.,[None]
6,3,Hooli Smokes!,10 Nov. 2019,8.4,1289,The Pied Piper team races to close a major deal; Dinesh considers being a better person; an angry Jared reluctantly helps Richard.,[None]
6,4,Maximizing Alphaness,17 Nov. 2019,7.4,1241,Richard's authority is threatened by his former Hooli manager; Monica tries to prove her support of other women; Gavin sets his sights on the literary world.,[None]
6,5,Tethics,24 Nov. 2019,7.6,1191,Richard fumes at Gavin's new ethical stance; Dinesh's trip turns into a nightmare; Gilfoyle and Monica work on their peer review scores.,[None]
6,6,RussFest,1 Dec. 2019,8.5,1411,A major event puts PiperNet's capabilities to the test; Monica confronts Jian-Yang over his use of Pied Piper's name.,[None]
6,7,Exit Event,8 Dec. 2019,8.6,2862,Richard and the Pied Piper team look to pull off a spectacular feat on the day of a big launch.,[None]
